<![LOG[The user is not in presentation mode at notification process startup. 	 (Microsoft.SoftwareCenter.Client.Notification.SingleInstanceApplication at OnStartup)]LOG]!><time="04:50:22.4214388" date="8-23-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[Updating presentation mode information at Software\Microsoft\Sms\Mobile Client\PresentationMode\S-1-5-21-220523388-688789844-725345543-631871 	 (Microsoft.SoftwareCenter.Client.Notification.UtilityClass at UpdatePresentationModeRegistry)]LOG]!><time="04:50:22.4370389" date="8-23-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[Setting PresentationMode value to 0 	 (Microsoft.SoftwareCenter.Client.Notification.UtilityClass at UpdatePresentationModeRegistry)]LOG]!><time="04:50:22.4370389" date="8-23-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[Querying WMI and retrieving the current system state... 	 (Microsoft.SoftwareCenter.Client.Notification.SingleInstanceApplication at ResetNotificationState)]LOG]!><time="04:50:32.4522564" date="8-23-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[Retrieving application info for event type ProgramAvailable 	 (Microsoft.SoftwareCenter.Client.Data.WmiDataConnector at RetrieveNewApplicationInfo)]LOG]!><time="04:50:32.4522564" date="8-23-2018" component="SCClient" context="" type="0" thread="1" file="">
<![LOG[Getting all instances of CCM_Program 	 (Microsoft.SoftwareCenter.Client.Data.WmiDataConnector at GetAllApplicationsWithType)]LOG]!><time="04:50:32.4522564" date="8-23-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[Executing WMI query: Select * From CCM_Program 	 (Microsoft.SoftwareCenter.Client.Data.WmiConnectionManager at ExecuteQuery)]LOG]!><time="04:50:32.4522564" date="8-23-2018" component="SCClient" context="" type="0" thread="1" file="">
<![LOG[Found application CCM_Program.PackageID="P110038A",ProgramID="*" 	 (Microsoft.SoftwareCenter.Client.Data.WmiDataConnector at GetAllApplicationsWithType)]LOG]!><time="04:50:33.1698577" date="8-23-2018" component="SCClient" context="" type="0" thread="1" file="">
<![LOG[Converting WMI object to application data. 	 (Microsoft.SoftwareCenter.Client.Data.WmiConverter at ConvertToApplication)]LOG]!><time="04:50:33.1698577" date="8-23-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[Found application CCM_Program.PackageID="P1100389",ProgramID="*" 	 (Microsoft.SoftwareCenter.Client.Data.WmiDataConnector at GetAllApplicationsWithType)]LOG]!><time="04:50:33.2010578" date="8-23-2018" component="SCClient" context="" type="0" thread="1" file="">
<![LOG[Converting WMI object to application data. 	 (Microsoft.SoftwareCenter.Client.Data.WmiConverter at ConvertToApplication)]LOG]!><time="04:50:33.2010578" date="8-23-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[Found application CCM_Program.PackageID="C01005B9",ProgramID="Install Logica_Team_Documents_Script_1.0_Eng" 	 (Microsoft.SoftwareCenter.Client.Data.WmiDataConnector at GetAllApplicationsWithType)]LOG]!><time="04:50:33.2010578" date="8-23-2018" component="SCClient" context="" type="0" thread="1" file="">
<![LOG[Converting WMI object to application data. 	 (Microsoft.SoftwareCenter.Client.Data.WmiConverter at ConvertToApplication)]LOG]!><time="04:50:33.2010578" date="8-23-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[Getting program dependencies restart required information 	 (Microsoft.SoftwareCenter.Client.Data.WmiConverter at ConvertToApplication)]LOG]!><time="04:50:33.2010578" date="8-23-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[Found application CCM_Program.PackageID="C0100BE4",ProgramID="Install" 	 (Microsoft.SoftwareCenter.Client.Data.WmiDataConnector at GetAllApplicationsWithType)]LOG]!><time="04:50:33.2010578" date="8-23-2018" component="SCClient" context="" type="0" thread="1" file="">
<![LOG[Converting WMI object to application data. 	 (Microsoft.SoftwareCenter.Client.Data.WmiConverter at ConvertToApplication)]LOG]!><time="04:50:33.2010578" date="8-23-2018" component="SCClient" context="" type="1" thread="1" file="">
<![LOG[Getting program dependencies restart required information 	 (Microsoft.SoftwareCenter.Client.Data.WmiConverter at ConvertToApplication)]LOG]!><time="04:50:33.2166578" date="8-23-2018" component="SCClient" context="" type="1" thread="1" file="">
